field,angle,sublattice,ik,ikprime,qx,qy,qz,structure_factor
0.5,5,0,13,10,-0.03605065675233998,-0.02081385638042621,-2.1568651905532573e-18,29.44537852142087
0.5,5,0,13,11,0.0,-0.04162771276085253,-5.0366664873316016e-18,29.15044287846684
0.5,5,0,13,12,-0.03605065675233998,0.02081385638042632,2.8798012967783505e-18,28.977377868956143
0.5,5,0,13,13,0.0,0.0,0.0,44.38124999998489
0.5,5,0,13,14,0.0,0.04162771276085242,5.036666487331589e-18,29.150442878466936
0.5,5,0,14,0,0.28840525401871897,0.16651085104340985,1.7254921524426052e-17,0.47812500001967145
0.5,5,0,14,1,0.32445591077105884,0.14569699466298364,1.4375120227647708e-17,0.44039658927499054
0.5,5,0,14,2,0.3605065675233987,0.1248831382825574,1.1495318930869366e-17,0.3807902681762902
0.5,5,0,14,3,0.32445591077105884,0.18732470742383606,1.9411786714979303e-17,0.40006504816309685
0.5,5,0,14,4,0.3605065675233987,0.16651085104340982,1.6531985418200962e-17,0.3534884242544822
0.5,5,0,14,5,0.288405254018719,-0.24976627656511474,-3.311174334888993e-17,0.3740504761111899
0.5,5,0,14,6,0.3244559107710589,-0.27058013294554106,-3.599154464566827e-17,0.3604069267690916
0.5,5,0,14,7,0.3244559107710589,-0.22895242018468853,-3.095487815833667e-17,0.2475193213772172
0.5,5,0,14,8,0.3605065675233987,-0.24976627656511474,-3.383467945511501e-17,0.2994857831395191
0.5,5,0,14,9,0.3605065675233987,-0.20813856380426232,-2.879801296778342e-17,0.1955707392354311
0.5,5,0,14,10,-0.03605065675233998,-0.06244156914127863,-7.193531677884846e-18,11.729803962759537
0.5,5,0,14,11,0.0,-0.08325542552170495,-1.0073332974663191e-17,6.69183506712069
0.5,5,0,14,12,-0.03605065675233998,-0.0208138563804261,-2.1568651905532388e-18,29.445378521420906
0.5,5,0,14,13,0.0,-0.04162771276085242,-5.036666487331589e-18,29.150442878466936
0.5,5,0,14,14,0.0,0.0,0.0,44.38124999998489
0.5,5,1,0,0,0.0,0.0,0.0,19.49843750000381
0.5,5,1,0,1,0.036050656752339885,-0.02081385638042621,-2.8798012967783443e-18,12.603258444848317
0.5,5,1,0,2,0.07210131350467976,-0.04162771276085245,-5.7596025935566855e-18,2.9350247262403184
0.5,5,1,0,3,0.03605065675233987,0.02081385638042621,2.156865190553251e-18,13.06135570140734
0.5,5,1,0,4,0.07210131350467976,-2.7755575615628914e-17,-7.229361062250901e-19,5.084955568459801
0.5,5,1,0,5,5.551115123125783e-17,-0.4162771276085246,-5.0366664873315985e-17,0.9319193570193482
