field,angle,ik,ikprime,qx,qy,qz,t2_raw,t2_smoothed
2.0,0,8,10,-0.3965572242757387,0.1873247074238361,2.664114777723016e-17,0.00010120555052287726,0.00010120555052287726
2.0,0,8,11,-0.3605065675233987,0.1665108510434098,2.3761346480451817e-17,5.9969173155782526e-05,5.9969173155782526e-05
2.0,0,8,12,-0.3965572242757387,0.22895242018468864,3.167781426456177e-17,8.070026201001259e-05,8.070026201001259e-05
2.0,0,8,13,-0.3605065675233987,0.20813856380426232,2.879801296778342e-17,5.0924843325453973e-05,5.0924843325453973e-05
2.0,0,8,14,-0.3605065675233987,0.24976627656511474,3.383467945511501e-17,0.00017572826188162928,0.00017572826188162928
2.0,0,9,0,-0.07210131350467978,0.37464941484767217,4.605293449220947e-17,0.00021370646054094338,0.0002137064605409434
2.0,0,9,1,-0.0360506567523399,0.35383555846724596,4.3173133195431126e-17,4.5463754222377513e-05,4.5463754222377513e-05
2.0,0,9,2,-2.7755575615628914e-17,0.3330217020868197,4.029333189865279e-17,2.1630039084617326e-05,2.163003908461733e-05
2.0,0,9,3,-0.03605065675233991,0.3954632712280984,4.820979968276272e-17,2.07681739270442e-05,2.07681739270442e-05
2.0,0,9,4,-2.7755575615628914e-17,0.3746494148476721,4.532999838598438e-17,1.1799067879270594e-21,1.1799067879270594e-21
2.0,0,9,5,-0.07210131350467973,-0.04162771276085242,-4.3137303811065145e-18,0.023274755396406114,0.023274755396406114
2.0,0,9,6,-0.036050656752339844,-0.06244156914127874,-7.193531677884853e-18,0.045699382097850544,0.045699382097850544
2.0,0,9,7,-0.03605065675233986,-0.02081385638042621,-2.156865190553251e-18,0.12175389910256654,0.12175389910256654
2.0,0,9,8,0.0,-0.04162771276085242,-5.036666487331589e-18,0.12878840739398553,0.12878840739398553
2.0,0,9,9,0.0,0.0,0.0,0.2044275400636694,0.2044275400636694
2.0,0,9,10,-0.3965572242757387,0.1456969946629837,2.1604481289898572e-17,0.0001582881098383872,0.0001582881098383872
2.0,0,9,11,-0.3605065675233987,0.12488313828255737,1.8724679993120228e-17,0.00035444583337700727,0.00035444583337700727
2.0,0,9,12,-0.3965572242757387,0.18732470742383622,2.664114777723018e-17,9.181112859528907e-05,9.181112859528907e-05
2.0,0,9,13,-0.3605065675233987,0.1665108510434099,2.376134648045183e-17,8.093722183288184e-05,8.093722183288184e-05
2.0,0,9,14,-0.3605065675233987,0.20813856380426232,2.879801296778342e-17,8.316188980741448e-05,8.316188980741448e-05
2.0,0,10,0,0.32445591077105895,0.22895242018468848,2.4448453202310898e-17,6.210327987788883e-05,6.210327987788883e-05
2.0,0,10,1,0.3605065675233988,0.20813856380426227,2.1568651905532554e-17,4.534604025178617e-05,4.534604025178617e-05
2.0,0,10,2,0.3965572242757387,0.18732470742383603,1.8688850608754213e-17,0.0002463857279130349,0.0002463857279130349
2.0,0,10,3,0.3605065675233988,0.2497662765651147,2.660531839286415e-17,6.077421522402432e-05,6.0774215224024324e-05
2.0,0,10,4,0.3965572242757387,0.22895242018468845,2.3725517096085808e-17,5.2165240262438924e-05,5.2165240262438924e-05
2.0,0,10,5,0.324455910771059,-0.1873247074238361,-2.5918211671005086e-17,2.7093827937348456e-22,2.7093827937348456e-22
2.0,0,10,6,0.3605065675233989,-0.20813856380426243,-2.8798012967783425e-17,3.0227667317793645e-05,3.0227667317793648e-05
2.0,0,10,7,0.3605065675233989,-0.1665108510434099,-2.3761346480451823e-17,7.803059719647234e-05,7.803059719647234e-05
2.0,0,10,8,0.3965572242757387,-0.1873247074238361,-2.664114777723016e-17,0.00010120555052287725,0.00010120555052287725
2.0,0,10,9,0.3965572242757387,-0.1456969946629837,-2.1604481289898572e-17,0.0001582881098383872,0.0001582881098383872
2.0,0,10,10,0.0,0.0,0.0,0.7286359450265648,0.7286359450265648
2.0,0,10,11,0.03605065675233998,-0.02081385638042632,-2.8798012967783443e-18,0.4591151670493619,0.4591151670493619
2.0,0,10,12,0.0,0.04162771276085253,5.036666487331608e-18,0.48021086543346536,0.4802108654334654
2.0,0,10,13,0.03605065675233998,0.02081385638042621,2.1568651905532573e-18,0.47838879415933394,0.47838879415933394
2.0,0,10,14,0.03605065675233998,0.06244156914127863,7.193531677884846e-18,0.17816934456059016,0.17816934456059016
2.0,0,11,0,0.28840525401871897,0.2497662765651148,2.7328254499089243e-17,0.0003160770639739616,0.0003160770639739616
2.0,0,11,1,0.32445591077105884,0.2289524201846886,2.4448453202310898e-17,8.113561634449595e-05,8.113561634449596e-05
2.0,0,11,2,0.3605065675233987,0.20813856380426235,2.1568651905532557e-17,5.407537764633533e-05,5.407537764633533e-05
2.0,0,11,3,0.32445591077105884,0.270580132945541,2.9485119689642494e-17,0.00013009829322648935,0.00013009829322648935
2.0,0,11,4,0.3605065675233987,0.24976627656511477,2.6605318392864153e-17,4.810360792571089e-05,4.810360792571089e-05
2.0,0,11,5,0.288405254018719,-0.1665108510434098,-2.3038410374226742e-17,1.1855254138312595e-05,1.1855254138312595e-05
2.0,0,11,6,0.3244559107710589,-0.1873247074238361,-2.591821167100508e-17,2.4969241496490273e-22,2.4969241496490273e-22
2.0,0,11,7,0.3244559107710589,-0.14569699466298358,-2.088154518367348e-17,0.00010079464214939084,0.00010079464214939084
2.0,0,11,8,0.3605065675233987,-0.1665108510434098,-2.3761346480451817e-17,5.99691731557825e-05,5.9969173155782506e-05
2.0,0,11,9,0.3605065675233987,-0.12488313828255737,-1.8724679993120228e-17,0.0003544458333770072,0.00035444583337700727
2.0,0,11,10,-0.03605065675233998,0.02081385638042632,2.8798012967783443e-18,0.4591151670493619,0.4591151670493619
2.0,0,11,11,0.0,0.0,0.0,0.6840627869536734,0.6840627869536735
2.0,0,11,12,-0.03605065675233998,0.06244156914127885,7.916467784109952e-18,0.17770926082108002,0.17770926082108002
2.0,0,11,13,0.0,0.04162771276085253,5.0366664873316016e-18,0.4646654728363678,0.46466547283636783
2.0,0,11,14,0.0,0.08325542552170495,1.0073332974663191e-17,0.09843068341805754,0.09843068341805754
2.0,0,12,0,0.32445591077105895,0.18732470742383595,1.941178671497929e-17,3.6330580082140664e-22,3.6330580082140664e-22
2.0,0,12,1,0.3605065675233988,0.16651085104340974,1.6531985418200946e-17,9.20481894459081e-05,9.204818944590811e-05
2.0,0,12,2,0.3965572242757387,0.1456969946629835,1.3652184121422605e-17,0.00010066980778046854,0.00010066980778046854
2.0,0,12,3,0.3605065675233988,0.20813856380426216,2.1568651905532542e-17,3.764090195758013e-05,3.764090195758013e-05
2.0,0,12,4,0.3965572242757387,0.18732470742383592,1.86888506087542e-17,0.00021091548742118525,0.00021091548742118528
2.0,0,12,5,0.324455910771059,-0.22895242018468864,-3.0954878158336694e-17,6.922412583119323e-05,6.922412583119323e-05
2.0,0,12,6,0.3605065675233989,-0.24976627656511496,-3.383467945511503e-17,0.00012284761489419463,0.00012284761489419463
2.0,0,12,7,0.3605065675233989,-0.20813856380426243,-2.879801296778343e-17,5.977589101016478e-05,5.977589101016478e-05
2.0,0,12,8,0.3965572242757387,-0.22895242018468864,-3.167781426456177e-17,8.070026201001256e-05,8.070026201001256e-05
2.0,0,12,9,0.3965572242757387,-0.18732470742383622,-2.664114777723018e-17,9.181112859528907e-05,9.181112859528907e-05
2.0,0,12,10,0.0,-0.04162771276085253,-5.036666487331608e-18,0.48021086543346536,0.4802108654334654
2.0,0,12,11,0.03605065675233998,-0.06244156914127885,-7.916467784109952e-18,0.17770926082108,0.17770926082108
2.0,0,12,12,0.0,0.0,0.0,0.7420703474579335,0.7420703474579335
2.0,0,12,13,0.03605065675233998,-0.02081385638042632,-2.8798012967783505e-18,0.48408070689546384,0.48408070689546384
2.0,0,12,14,0.03605065675233998,0.0208138563804261,2.1568651905532388e-18,0.4728609567646143,0.4728609567646143
2.0,0,13,0,0.28840525401871897,0.20813856380426227,2.229158801175764e-17,7.489764087131255e-05,7.489764087131255e-05
2.0,0,13,1,0.32445591077105884,0.18732470742383606,1.9411786714979297e-17,3.9275480672109816e-22,3.9275480672109816e-22
2.0,0,13,2,0.3605065675233987,0.16651085104340982,1.6531985418200956e-17,9.216613573962985e-05,9.216613573962985e-05
