field,angle,mode,sigma,rho,delta_rho_over_rho0
0.5,50,raw,0.13515692338789528,7.398807067619005,0.09350478988182509
0.5,51,raw,0.13404853987239063,7.459984278470798,0.10254646004387369
0.5,52,raw,0.13347250793823165,7.492179591491452,0.10730475806111883
0.5,53,raw,0.14238801537320586,7.023062983067442,0.03797178943029156
0.5,54,raw,0.13150398627546905,7.604332220813761,0.12388032710096031
0.5,55,raw,0.13936829941593484,7.175232848436865,0.06046169559170256
0.5,56,raw,0.13419142613458174,7.452040929925667,0.10137247488621015
0.5,57,raw,0.14434785177080825,6.927709610724058,0.023879062260095063
0.5,58,raw,0.1424127153667872,7.0218449063658195,0.0377917640970864
0.5,59,raw,0.13300006558796812,7.518793284643802,0.11123812200378813
0.5,0,smoothed,0.14681022856060943,6.811514495988663,0.0
0.5,1,smoothed,0.14665858116733427,6.81855771438987,0.001034016503283386
0.5,2,smoothed,0.14632017635408678,6.83432746540747,0.0033491772545211074
0.5,3,smoothed,0.14435301256266297,6.9274619368674735,0.01702227029643577
0.5,4,smoothed,0.14342536576967602,6.972267385435017,0.023600168441397562
0.5,5,smoothed,0.1443099934651227,6.929527027119458,0.017325446668327915
0.5,6,smoothed,0.14533119493370297,6.880835187904283,0.010176986624111706
0.5,7,smoothed,0.14589481956438521,6.854252967897105,0.00627444482920958
0.5,8,smoothed,0.1452808340216303,6.8832203967876024,0.010527159685436605
0.5,9,smoothed,0.14347688485956095,6.969763812329958,0.023232618301625596
0.5,10,smoothed,0.1390458121271289,7.191874280152392,0.05584070684834108
0.5,11,smoothed,0.13602942018565903,7.351350896263142,0.07925350530963282
0.5,12,smoothed,0.13816728611470963,7.237603257038552,0.06255418839684102
0.5,13,smoothed,0.14084059749169955,7.100225487604418,0.04238572666706908
0.5,14,smoothed,0.14003831956854262,7.140902597810336,0.04835754251358515
0.5,15,smoothed,0.13794697194875313,7.249162383727399,0.06425118642799177
0.5,16,smoothed,0.13716035511932603,7.290736445892294,0.07035468399661293
0.5,17,smoothed,0.1385904821600725,7.215502712841395,0.05930960245194261
0.5,18,smoothed,0.1404489270937733,7.12002591043171,0.045292631267940475
0.5,19,smoothed,0.14166020151700315,7.059145683058853,0.036354791172509504
0.5,20,smoothed,0.14198401682534795,7.043046269285947,0.03399123255681746
0.5,21,smoothed,0.14460603377054188,6.9153407636280315,0.015242758082730568
0.5,22,smoothed,0.1451418898729235,6.889809695020045,0.011494536064995398
0.5,23,smoothed,0.14346919762017232,6.970137260037176,0.02328744424487783
0.5,24,smoothed,0.14188255073907538,7.048083043270193,0.034730682496652676
0.5,25,smoothed,0.13900821633115537,7.193819375523301,0.05612626674431631
0.5,26,smoothed,0.13747174310427074,7.274222159542354,0.06793021784306297
0.5,27,smoothed,0.13900020260231652,7.194234118212245,0.05618715521327422
0.5,28,smoothed,0.13828618604149104,7.2313802891343215,0.06164059305649561
0.5,29,smoothed,0.13559331144035996,7.374995044942501,0.08272470818137045
