field,temperature,angle,mode,ik,kx,ky,energy,vx_archived,surface_weight,inverse_tau,tau,sigma_term,inverse_tau_error
0.0,4.0,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,2.0107418192432758,0.49732889147167625,1.27943704666567e-07,0.34472191835292104
0.0,4.0,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,1.9584213032453417,0.510615360618718,0.017532220679130805,0.4110798413159377
0.0,4.0,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,2.070495671682554,0.4829761364279339,6.177233972813515e-05,0.311593433119385
0.0,4.0,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,1.7310684365137519,0.5776779120379137,0.021430315422366404,0.3996822411707261
0.0,4.0,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,1.7321262783642577,0.5773251133539496,0.006369599967934278,0.32157189108862994
0.0,4.0,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,1.6377254171821638,0.6106029676944131,2.1741561294882942e-05,0.33073904298731793
0.2,0.5,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,2.231369395570434,0.44815529064131354,1.1846439760206755e-05,0.413898636310047
0.2,0.5,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,2.1905085336698575,0.4565149985171046,0.0006642871683813628,0.35223546149416585
0.2,0.5,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,2.293057058003361,0.4360990479978428,3.7409645752224744e-05,0.36038866487866666
0.2,0.5,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,2.4418876187617045,0.4095192556433477,0.003098787955872159,0.47525901258514974
0.2,0.5,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,2.5539442247236988,0.3915512290046922,0.005087365089360792,0.4563936266639862
0.2,0.5,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,2.508621373998583,0.3986253208095981,2.2126065294987987e-06,0.4819795927740778
0.2,0.5,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,2.058564175597924,0.48577547975133845,0.003918805711123008,0.4373525364570766
0.2,0.5,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,2.3137612065595428,0.432196718125011,0.0010050072603685536,0.4855157783777589
0.2,0.5,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.9688518045043288,0.5079102437838161,0.007196087806717118,0.44769288680635877
0.2,0.5,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,2.2636963501132406,0.44175536173390717,1.136467607367516e-07,0.44576648570768906
0.2,0.5,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,2.435519648798716,0.41058999482645736,0.014097802285497367,0.40918275655667546
0.2,0.5,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,2.6209646992765063,0.38153890446370414,4.879858247313044e-05,0.3571581153569437
0.2,0.5,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,2.31191317635195,0.43254219502219177,0.01604616600296797,0.40852249535316504
0.2,0.5,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,2.361716860905402,0.42342078195463023,0.004671580945946855,0.35212734201760937
0.2,0.5,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,2.2935686731453218,0.4360017695169485,1.5524587494920712e-05,0.3205118542231845
0.2,4.0,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,2.450393092035301,0.40809778775918687,1.0787568416395655e-05,0.23705642792197834
0.2,4.0,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,2.3277984140486208,0.4295904636607906,0.0006251085585267383,0.1976573593747667
0.2,4.0,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,2.2933531738670316,0.4360427392497113,3.740481544972804e-05,0.21269726212230392
0.2,4.0,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,2.412307887879727,0.41454078271863537,0.003136785308637762,0.30141816140592126
0.2,4.0,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,2.3400356955914376,0.42734390842155623,0.005552413885613849,0.3123586762743728
0.2,4.0,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,2.066172477394807,0.4839867005008598,2.686412723466405e-06,0.2313920502127049
0.2,4.0,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,1.8668366015790525,0.5356655205678719,0.0043212743103616304,0.2725168324736681
0.2,4.0,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,2.0660864666643812,0.48400684876197964,0.0011254837824409304,0.26933839398672454
0.2,4.0,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.9655320756680492,0.5087680900145666,0.007208241798247497,0.36371649282202345
0.2,4.0,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,2.168041690885799,0.46124574273819846,1.1866089040790893e-07,0.36567238262577534
0.2,4.0,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,2.2653673263673855,0.4414295149226608,0.015156691840464875,0.39545307143045894
0.2,4.0,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,2.3774728013132576,0.4206146961797521,5.379635130469617e-05,0.3736233153067598
0.2,4.0,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,2.2052232282204702,0.45346883127426574,0.016822488597731885,0.41340769023106666
0.2,4.0,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,2.170805537401184,0.46065848956565986,0.005082422767511169,0.32951752793826183
0.2,4.0,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,2.022297609025029,0.4944870604293057,1.760705614393725e-05,0.3735110130547134
0.5,0.5,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,2.160933475652862,0.4627629731627345,1.2232576071971823e-05,0.43222012034895513
0.5,0.5,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,2.4607661994231207,0.4063774934142182,0.0005913307454758958,0.6510731927025165
0.5,0.5,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,3.066630852563814,0.32609076477658333,2.797286545194286e-05,0.8556566997330376
0.5,0.5,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,2.756130898189556,0.36282746971737767,0.002745476257162767,0.6650123709116271
0.5,0.5,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,3.3462037826020428,0.2988461148718174,0.003882861754142955,0.9785283274186968
0.5,0.5,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,1.9839054704102395,0.5040562743109006,2.7978107399450544e-06,0.4054425790179778
0.5,0.5,0,raw,6,0.10815197025701967,-0.22895242018468864,5.145283064283133,0.020767649695250218,0.5201991268486323,1.528228983750197,0.6543522015568964,0.005278733183197507,0.2827904349292142
0.5,0.5,0,raw,7,0.10815197025701966,-0.1873247074238361,5.144121377789962,-0.010719092181551456,0.5293336940278256,1.6775153339068318,0.5961197372014838,0.0013861851300851318,0.24199390119516728
0.5,0.5,0,raw,8,0.1442026270093595,-0.20813856380426232,5.14534716925702,0.02758948382352358,0.5198300769023786,1.5088906877246846,0.6627385324432873,0.009389699717075678,0.23648735992519124
0.5,0.5,0,raw,9,0.1442026270093595,-0.1665108510434099,5.147021734594037,-0.0001259620521843198,0.5199197772191021,1.9165376942630903,0.521774240597183,1.3423255814485539e-07,0.2909363574648526
0.5,0.5,0,raw,10,-0.2523545972663792,-0.02081385638042621,5.145677872466416,-0.0434418685841995,0.51985771673767,3.4781745339327856,0.28750713635675323,0.009871693940667498,1.0728316810056782
0.5,0.5,0,raw,11,-0.21630394051403923,-0.04162771276085253,5.147376441087658,0.002858217999507969,0.5206594926129264,3.3959046126419503,0.29447234656630084,3.766282526331174e-05,0.9364730798217482
0.5,0.5,0,raw,12,-0.2523545972663792,0.02081385638042632,5.14568083614509,-0.04516075583106109,0.519842788437298,2.8233686962416065,0.3541868270095838,0.013139390070299836,0.8339398170188174
0.5,0.5,0,raw,13,-0.21630394051403923,0.0,5.144627763799344,0.02362499790397463,0.5292851652193965,2.6962366939549147,0.3708873194412217,0.00409198180258561,0.8289754437192698
0.5,0.5,0,raw,14,-0.21630394051403923,0.04162771276085242,5.147285144449704,0.0015024015617280991,0.5195837738285636,2.4037212037386277,0.4160216244898327,1.4813160314296374e-05,0.7155445036939289
0.5,4.0,0,raw,0,0.07210131350467973,0.20813856380426227,5.147068562018063,0.0012798121389270486,0.5199186403998483,2.58162092195508,0.38735353881571927,1.0239219438683358e-05,0.4311497339755135
0.5,4.0,0,raw,1,0.10815197025701961,0.18732470742383606,5.144408487097705,-0.008533825831208507,0.5292631038427693,2.7466802909560744,0.3640758639775714,0.0005297765145575989,0.5354774994620926
0.5,4.0,0,raw,2,0.14420262700935949,0.16651085104340982,5.147184635464241,0.0023193317508343274,0.5198165912370559,3.004682652728823,0.33281384943991005,2.8549588140909866e-05,0.7051156647818598
0.5,4.0,0,raw,3,0.1081519702570196,0.22895242018468848,5.145607021581596,0.020355732276406392,0.5191554241865939,2.438272548359147,0.41012642359155344,0.0031033823301272498,0.4458197771379268
0.5,4.0,0,raw,4,0.14420262700935949,0.20813856380426224,5.14564473400505,0.026715871630664557,0.5189042758364556,2.533180176506831,0.394760708012079,0.005129065358055442,0.5473583150069847
0.5,4.0,0,raw,5,0.07210131350467978,-0.20813856380426232,5.146844912315772,0.0005797263311832068,0.5205325849982075,2.0222715620869565,0.49449342944229197,2.7447312894126732e-06,0.16712639602713342
